Employee_ID,Age,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality
EMP1285,41,Education,33,Remote,46,8,3,Medium,5,Daily,Poor
EMP1286,55,Finance,33,Remote,43,0,1,High,2,Weekly,Good
EMP1287,38,IT,2,Hybrid,48,6,4,High,4,Daily,Poor
EMP1288,59,Healthcare,8,Onsite,39,15,4,High,3,None,Average
EMP1289,32,Consulting,7,Remote,49,15,1,High,1,None,Average
EMP1290,28,Healthcare,16,Hybrid,38,11,4,Low,2,Daily,Good
EMP1291,25,Healthcare,14,Hybrid,32,10,2,Low,4,Weekly,Average
EMP1292,45,Retail,28,Hybrid,47,7,4,High,2,Weekly,Poor
EMP1293,27,Consulting,16,Onsite,39,3,1,Low,2,None,Good
EMP1294,40,Consulting,1,Hybrid,47,9,3,Medium,2,None,Average
EMP1295,25,Healthcare,10,Remote,53,6,4,Low,3,None,Good
EMP1296,30,IT,14,Hybrid,49,2,2,Low,1,Weekly,Poor
EMP1297,45,Manufacturing,24,Onsite,47,9,2,High,2,None,Good
EMP1298,48,Retail,14,Hybrid,25,13,3,Low,4,Daily,Average
EMP1299,57,Consulting,19,Hybrid,55,7,2,High,3,None,Good
EMP1300,32,Retail,2,Onsite,35,4,3,Low,5,Daily,Good
EMP1301,31,Consulting,27,Onsite,57,2,4,High,5,Daily,Poor
EMP1302,56,Retail,35,Hybrid,58,13,4,Medium,3,Weekly,Good
EMP1303,55,IT,35,Remote,44,12,1,Low,5,Daily,Average
EMP1304,56,Finance,22,Hybrid,28,4,2,Medium,1,None,Poor
EMP1305,31,Healthcare,9,Hybrid,25,6,1,Low,5,Weekly,Average
EMP1306,55,Retail,31,Onsite,58,15,3,Low,2,None,Poor
EMP1307,48,Finance,34,Onsite,44,11,1,High,2,Weekly,Average
EMP1308,50,IT,6,Onsite,25,1,3,High,2,Weekly,Poor
EMP1309,28,Healthcare,2,Onsite,48,0,2,High,1,None,Good
EMP1310,60,Education,8,Hybrid,34,4,4,Low,3,Weekly,Average
EMP1311,47,Finance,17,Onsite,38,1,1,Medium,4,None,Average
EMP1312,23,Healthcare,22,Remote,37,14,2,Low,3,None,Average
EMP1313,23,Finance,19,Remote,22,5,4,High,2,Weekly,Good
EMP1314,35,Finance,12,Onsite,22,3,2,Low,4,Daily,Average
EMP1315,53,Healthcare,8,Onsite,52,3,5,Low,3,Daily,Poor
EMP1316,49,Finance,7,Remote,28,3,3,Low,5,Daily,Average
EMP1317,43,Manufacturing,28,Onsite,43,3,1,Medium,5,None,Average
EMP1318,41,Manufacturing,13,Onsite,41,8,3,Low,2,Daily,Average
EMP1319,59,Finance,13,Onsite,48,3,3,High,2,None,Poor
EMP1320,52,Education,19,Hybrid,30,9,2,Low,2,Weekly,Good
EMP1321,53,Consulting,1,Onsite,29,1,1,Medium,1,Daily,Average
EMP1322,42,Consulting,3,Remote,31,0,3,High,3,None,Average
EMP1323,24,Healthcare,6,Remote,43,4,5,Medium,4,Daily,Poor
EMP1324,37,Manufacturing,15,Onsite,56,2,2,Medium,4,Weekly,Poor
EMP1325,58,IT,15,Onsite,58,9,2,High,4,Daily,Good
EMP1326,33,Consulting,34,Remote,53,7,4,High,3,None,Good
EMP1327,24,Retail,22,Remote,36,3,5,Medium,2,Weekly,Poor
EMP1328,46,Healthcare,17,Hybrid,40,9,2,Medium,2,Daily,Average
EMP1329,27,Retail,23,Hybrid,60,8,1,High,4,None,Poor
EMP1330,35,IT,21,Hybrid,44,2,5,Medium,4,Daily,Average
EMP1331,24,Education,7,Remote,33,15,4,Low,4,None,Good
EMP1332,60,Healthcare,21,Hybrid,50,7,5,Low,2,Daily,Good
EMP1333,59,Manufacturing,7,Remote,38,10,5,High,1,None,Good
EMP1334,23,Healthcare,13,Remote,51,14,3,Medium,1,Daily,Poor
EMP1335,55,Finance,11,Remote,59,6,2,Low,4,None,Good
EMP1336,40,Education,16,Onsite,54,0,4,Medium,4,Daily,Average
EMP1337,39,Consulting,17,Remote,34,8,3,High,3,Daily,Good
EMP1338,51,Healthcare,31,Remote,37,3,2,Low,5,Weekly,Good
EMP1339,40,Finance,26,Remote,24,5,3,High,4,None,Average
EMP1340,34,Education,1,Remote,60,0,2,Medium,2,Weekly,Average
EMP1341,49,Finance,17,Onsite,34,5,2,Low,1,None,Average
EMP1342,24,IT,30,Onsite,25,0,3,High,1,Weekly,Good
EMP1343,48,IT,4,Remote,41,13,3,Low,3,Weekly,Average
EMP1344,40,IT,3,Remote,54,15,2,High,2,None,Average
EMP1345,45,IT,10,Onsite,39,2,1,Low,3,Weekly,Poor
EMP1346,30,Healthcare,16,Onsite,52,15,2,High,4,Daily,Good
EMP1347,25,IT,35,Remote,54,5,1,High,2,Weekly,Average
EMP1348,57,Healthcare,8,Onsite,22,15,5,Medium,3,None,Poor
EMP1349,53,Consulting,12,Hybrid,43,11,4,Low,5,Daily,Good
EMP1350,56,Retail,27,Hybrid,35,14,5,High,1,None,Average
EMP1351,26,Manufacturing,2,Onsite,26,0,1,Low,3,Weekly,Average
EMP1352,58,Consulting,25,Onsite,32,13,4,Low,4,Weekly,Average
EMP1353,57,IT,32,Remote,53,9,3,Medium,2,Daily,Average
EMP1354,44,Healthcare,23,Remote,32,15,3,High,5,None,Average
EMP1355,32,Education,23,Hybrid,35,1,5,High,5,Daily,Average
EMP1356,42,Manufacturing,20,Hybrid,44,6,5,High,3,Daily,Poor
EMP1357,43,Consulting,25,Onsite,24,5,3,High,4,Weekly,Average
EMP1358,58,Manufacturing,33,Remote,47,14,5,High,1,None,Poor
EMP1359,27,Retail,18,Hybrid,32,1,5,Low,1,Weekly,Average
EMP1360,25,Finance,13,Remote,32,0,2,Medium,4,Daily,Good
EMP1361,30,Manufacturing,14,Remote,39,4,1,Low,3,Daily,Good
EMP1362,44,Healthcare,7,Remote,49,11,2,Medium,3,Daily,Good
EMP1363,28,Education,21,Remote,59,7,4,High,1,None,Poor
EMP1364,36,IT,6,Hybrid,23,13,5,Medium,1,Weekly,Average
EMP1365,35,Retail,20,Remote,34,0,1,Medium,2,Weekly,Poor
EMP1366,29,IT,12,Hybrid,49,4,4,High,1,Weekly,Good
EMP1367,56,Finance,6,Remote,39,11,4,Medium,3,Daily,Average
EMP1368,45,Healthcare,17,Remote,26,13,3,High,5,Weekly,Average
EMP1369,47,Consulting,7,Hybrid,50,7,1,Medium,1,Daily,Good
EMP1370,41,Finance,30,Hybrid,46,4,2,Medium,1,Daily,Poor
EMP1371,47,Consulting,1,Onsite,46,6,5,Medium,4,Daily,Poor
EMP1372,32,IT,20,Hybrid,22,7,2,Low,2,Weekly,Poor
EMP1373,56,IT,33,Hybrid,56,13,5,Low,5,None,Poor
EMP1374,60,Education,29,Remote,35,8,5,High,2,Daily,Average
EMP1375,42,Manufacturing,25,Onsite,54,15,3,Low,4,Daily,Good
EMP1376,36,Retail,6,Hybrid,51,5,5,Medium,3,Daily,Poor
EMP1377,40,Finance,9,Remote,45,4,4,Medium,5,Weekly,Good
EMP1378,32,Education,13,Remote,42,4,2,High,5,Daily,Poor
EMP1379,32,Retail,20,Hybrid,55,9,3,Low,4,Daily,Good
EMP1380,49,Retail,32,Onsite,21,5,1,High,3,Daily,Good
EMP1381,42,Healthcare,19,Onsite,41,15,5,Low,4,Daily,Average
EMP1382,39,Healthcare,10,Onsite,49,13,5,High,2,Daily,Average
EMP1383,29,Finance,14,Remote,47,7,2,High,2,None,Average
EMP1384,52,Healthcare,19,Onsite,29,8,2,High,3,None,Average
EMP1385,25,Manufacturing,6,Remote,20,5,3,Low,4,None,Good
EMP1386,58,Consulting,20,Remote,20,5,5,Medium,3,Daily,Good
EMP1387,59,IT,23,Remote,25,15,3,Medium,1,None,Average
EMP1388,60,Education,28,Onsite,23,10,5,High,4,Weekly,Poor
EMP1389,24,IT,9,Hybrid,43,9,5,Low,2,None,Average
EMP1390,49,Retail,21,Remote,39,0,1,High,4,None,Good
EMP1391,25,Healthcare,2,Onsite,45,11,3,Low,4,Daily,Good
EMP1392,56,Education,1,Remote,20,15,1,Medium,2,Daily,Poor
EMP1393,34,Education,11,Onsite,58,10,3,High,3,None,Average
EMP1394,43,Finance,26,Onsite,45,0,5,High,2,None,Poor
EMP1395,56,Manufacturing,30,Onsite,32,5,4,Low,1,Daily,Average
EMP1396,46,Finance,7,Hybrid,45,15,4,High,2,Weekly,Average
EMP1397,35,Education,23,Hybrid,35,11,1,Medium,5,None,Poor
EMP1398,56,IT,17,Remote,22,15,5,High,5,Daily,Average
EMP1399,27,IT,11,Hybrid,21,12,2,Low,2,Weekly,Average
EMP1400,58,IT,24,Onsite,23,1,1,Low,3,Weekly,Good
EMP1401,26,Healthcare,10,Remote,39,0,5,Medium,1,None,Good
EMP1402,31,Consulting,11,Onsite,43,3,3,Low,5,None,Good
EMP1403,53,Consulting,32,Hybrid,32,13,4,High,5,None,Good
EMP1404,41,Finance,4,Onsite,27,8,1,High,5,Daily,Good
EMP1405,24,Healthcare,13,Hybrid,45,3,4,Low,5,Weekly,Poor
EMP1406,46,Healthcare,19,Hybrid,26,12,3,Low,3,Daily,Poor
EMP1407,45,Finance,29,Remote,28,1,3,High,1,Daily,Poor
EMP1408,23,Finance,1,Hybrid,43,13,5,High,1,Daily,Poor
EMP1409,55,Manufacturing,8,Remote,28,12,2,High,1,None,Good
EMP1410,38,IT,10,Hybrid,37,0,3,High,3,Daily,Poor
EMP1411,34,IT,29,Remote,21,13,3,High,4,Weekly,Average
EMP1412,24,Education,29,Remote,38,1,5,Low,1,Weekly,Poor
EMP1413,46,Finance,16,Onsite,28,5,3,High,4,Daily,Good
EMP1414,36,Healthcare,33,Remote,33,0,2,Medium,3,None,Average
EMP1415,30,IT,31,Onsite,25,4,4,High,3,None,Good
EMP1416,34,Manufacturing,23,Onsite,44,9,1,Low,2,None,Good
EMP1417,40,Education,6,Remote,49,15,5,Low,3,None,Average
EMP1418,37,Consulting,1,Remote,60,0,5,High,4,None,Average
EMP1419,37,IT,1,Onsite,28,3,2,Low,4,None,Poor
EMP1420,33,IT,19,Remote,41,5,3,Medium,2,None,Average
EMP1421,53,IT,7,Onsite,51,13,1,Low,1,Weekly,Good
EMP1422,23,Manufacturing,5,Remote,52,9,5,Low,5,None,Good
EMP1423,22,Healthcare,24,Remote,31,10,4,High,1,None,Average
EMP1424,45,Manufacturing,6,Remote,51,3,4,Low,4,None,Good
EMP1425,25,Finance,23,Onsite,36,9,4,Low,3,Weekly,Average
EMP1426,44,Finance,14,Onsite,59,10,3,High,1,None,Good
EMP1427,36,Consulting,31,Remote,43,7,3,High,3,Weekly,Poor
EMP1428,37,Consulting,1,Hybrid,54,13,3,Low,1,None,Good
EMP1429,45,Healthcare,30,Hybrid,43,7,2,Medium,4,None,Good
EMP1430,48,Retail,7,Remote,22,2,5,High,4,Weekly,Poor
EMP1431,42,Finance,7,Remote,34,8,4,Low,5,Daily,Poor
EMP1432,24,Manufacturing,33,Remote,23,5,3,High,4,None,Good
EMP1433,58,Healthcare,29,Remote,27,3,4,High,1,Daily,Average
EMP1434,50,Finance,35,Remote,45,1,1,Medium,3,Weekly,Good
EMP1435,46,Retail,12,Remote,42,7,2,Low,4,None,Poor
EMP1436,56,Retail,25,Onsite,40,7,4,High,5,Daily,Average
EMP1437,27,Education,20,Onsite,46,6,4,Medium,3,Weekly,Poor
EMP1438,38,Retail,1,Hybrid,37,6,2,Low,2,None,Good
EMP1439,56,Consulting,2,Onsite,36,9,4,Medium,2,Weekly,Good
EMP1440,57,IT,31,Hybrid,35,6,2,Low,3,Daily,Good
EMP1441,22,Retail,34,Hybrid,24,4,3,Medium,1,None,Average
EMP1442,45,Manufacturing,16,Remote,22,1,3,Medium,4,Daily,Poor
EMP1443,33,Manufacturing,24,Hybrid,37,8,1,Low,5,Daily,Average
EMP1444,37,Manufacturing,27,Hybrid,28,13,1,Low,1,None,Good
EMP1445,29,IT,23,Remote,56,7,3,High,5,Weekly,Poor
EMP1446,51,Retail,34,Hybrid,36,9,3,High,1,Daily,Average
EMP1447,43,Finance,32,Hybrid,35,1,2,Medium,1,None,Average
EMP1448,49,IT,14,Hybrid,41,10,1,Low,5,Weekly,Poor
EMP1449,28,Healthcare,23,Remote,40,13,1,Low,4,None,Average
EMP1450,28,IT,14,Hybrid,37,10,1,Medium,5,Daily,Good
EMP1451,23,Finance,1,Onsite,27,12,3,Medium,1,Daily,Poor
EMP1452,32,IT,22,Hybrid,51,11,3,Low,2,Weekly,Poor
EMP1453,58,Retail,27,Remote,35,4,1,High,5,None,Average
EMP1454,57,Consulting,20,Onsite,46,7,5,Medium,1,None,Poor
EMP1455,27,Consulting,17,Onsite,50,7,2,Low,5,None,Good
EMP1456,40,Retail,21,Remote,26,2,1,Low,3,None,Good
EMP1457,55,Finance,11,Hybrid,38,14,5,Medium,4,None,Poor
EMP1458,54,Healthcare,26,Onsite,57,2,4,Low,5,Weekly,Poor
EMP1459,54,Retail,14,Remote,26,15,4,Medium,2,Daily,Good
EMP1460,26,Finance,24,Remote,41,11,1,Low,4,Weekly,Average
EMP1461,48,Retail,23,Remote,41,5,4,High,1,Weekly,Poor
EMP1462,32,IT,6,Hybrid,25,9,4,Medium,2,None,Good
EMP1463,52,Consulting,35,Remote,56,10,4,Medium,3,Weekly,Poor
EMP1464,57,Education,7,Remote,43,8,2,Medium,3,None,Poor
EMP1465,36,Education,32,Remote,39,5,3,High,5,None,Poor
EMP1466,54,Healthcare,19,Remote,39,12,1,Medium,1,Weekly,Poor
EMP1467,40,IT,6,Onsite,53,4,2,High,3,Daily,Poor
EMP1468,49,Consulting,29,Remote,27,6,2,Medium,2,Weekly,Average
EMP1469,24,Retail,31,Onsite,47,10,1,Low,2,Daily,Poor
EMP1470,54,Manufacturing,8,Hybrid,29,14,4,High,3,Daily,Good
EMP1471,35,Consulting,24,Remote,41,4,5,Low,5,Weekly,Good
EMP1472,55,Healthcare,11,Remote,22,7,1,Low,5,Weekly,Poor
EMP1473,36,Healthcare,31,Onsite,41,13,5,Medium,2,Weekly,Average
EMP1474,43,Healthcare,29,Onsite,44,14,1,Medium,4,Daily,Average
EMP1475,25,Consulting,24,Remote,57,14,3,Low,5,Weekly,Average
EMP1476,42,Retail,5,Remote,43,2,3,High,3,Daily,Average
EMP1477,24,Consulting,17,Hybrid,43,11,2,Low,1,Weekly,Poor
EMP1478,48,Retail,6,Onsite,20,4,1,High,3,Daily,Poor
EMP1479,47,Retail,21,Hybrid,55,11,3,Low,3,Daily,Poor
EMP1480,54,IT,35,Hybrid,44,15,4,High,2,None,Average
EMP1481,43,Retail,29,Hybrid,37,15,3,Low,4,Weekly,Poor
EMP1482,29,Manufacturing,9,Remote,59,5,2,High,1,Daily,Poor
EMP1483,37,IT,27,Remote,43,11,3,Low,2,Weekly,Average
EMP1484,39,Manufacturing,4,Onsite,57,2,3,Medium,5,Weekly,Average
EMP1485,46,Education,17,Onsite,51,3,2,Low,5,Daily,Average
EMP1486,44,Retail,35,Onsite,39,12,3,High,1,Weekly,Poor
EMP1487,36,Healthcare,14,Onsite,56,5,3,Medium,1,Weekly,Average
EMP1488,28,Finance,30,Hybrid,53,6,1,Medium,3,Daily,Average
EMP1489,23,IT,1,Hybrid,33,10,1,Medium,1,Weekly,Poor
EMP1490,60,Retail,4,Remote,47,6,5,High,3,Daily,Good
EMP1491,55,IT,35,Hybrid,42,2,3,Medium,5,None,Average
EMP1492,34,Education,12,Remote,32,15,5,High,4,Weekly,Average
EMP1493,30,Finance,17,Onsite,58,4,5,High,3,Daily,Poor
EMP1494,26,Education,17,Onsite,46,5,1,Medium,1,None,Poor
EMP1495,44,Retail,10,Onsite,29,7,3,Medium,1,Daily,Poor
EMP1496,24,IT,3,Remote,39,6,1,Medium,4,Weekly,Good
EMP1497,59,Healthcare,15,Hybrid,24,8,4,Low,5,None,Poor
EMP1498,60,Consulting,32,Onsite,30,0,3,High,5,Weekly,Average
EMP1499,32,Consulting,14,Remote,37,8,2,High,3,None,Average
EMP1500,49,Consulting,26,Onsite,32,13,4,Medium,5,None,Good
EMP1501,36,IT,4,Onsite,49,12,4,High,3,Weekly,Average
EMP1502,40,Manufacturing,27,Onsite,24,7,5,Low,2,Daily,Poor
EMP1503,49,Finance,11,Hybrid,20,9,2,Low,2,Daily,Good
EMP1504,26,Consulting,22,Onsite,41,4,3,Low,5,Weekly,Poor
EMP1505,49,Finance,8,Hybrid,27,0,5,High,5,None,Poor
EMP1506,60,Manufacturing,28,Onsite,43,12,2,High,5,Daily,Average
EMP1507,42,IT,10,Onsite,34,8,3,Medium,1,None,Average
EMP1508,28,Consulting,35,Remote,20,8,5,Low,2,Daily,Poor
EMP1509,45,Finance,19,Remote,49,11,3,Low,2,None,Good
EMP1510,27,Finance,17,Remote,39,1,3,Low,2,Daily,Poor
EMP1511,44,Healthcare,12,Hybrid,56,15,3,Medium,3,Daily,Average
EMP1512,28,Retail,23,Onsite,55,12,4,Low,3,Weekly,Average
EMP1513,43,Retail,19,Remote,59,15,4,High,4,Daily,Average
EMP1514,24,Manufacturing,21,Hybrid,33,6,5,Low,3,Weekly,Average
EMP1515,53,IT,31,Onsite,42,13,3,Medium,2,None,Good
EMP1516,41,IT,4,Remote,22,4,1,Low,2,Daily,Good
EMP1517,59,IT,8,Onsite,42,11,1,Low,1,Weekly,Good
EMP1518,45,Healthcare,20,Remote,31,14,3,Low,2,Weekly,Average
EMP1519,26,Finance,2,Remote,40,9,3,High,5,Daily,Poor
EMP1520,52,Manufacturing,17,Remote,20,5,4,High,1,None,Good
EMP1521,48,Consulting,25,Onsite,28,1,3,High,4,Weekly,Poor
EMP1522,22,IT,23,Onsite,35,13,1,Medium,1,Daily,Good
EMP1523,41,Manufacturing,4,Remote,60,11,1,High,3,Daily,Poor
EMP1524,50,Retail,9,Onsite,58,7,3,High,4,None,Average
EMP1525,29,Finance,16,Remote,28,0,3,High,3,Daily,Average
EMP1526,27,IT,29,Remote,44,14,2,Low,1,Weekly,Poor
EMP1527,43,Consulting,14,Onsite,50,4,5,Medium,4,None,Average
EMP1528,51,Finance,25,Remote,60,1,4,Medium,3,Weekly,Poor
EMP1529,47,Finance,6,Hybrid,53,5,5,High,3,Weekly,Good
EMP1530,44,IT,17,Remote,36,7,4,Low,2,Weekly,Average
EMP1531,44,Retail,21,Hybrid,24,0,3,High,3,None,Average
EMP1532,43,Retail,5,Remote,25,0,3,High,3,Daily,Average
EMP1533,22,Consulting,20,Remote,47,8,5,Medium,2,Weekly,Average
EMP1534,40,Consulting,11,Remote,50,10,4,Low,1,Weekly,Good
EMP1535,34,IT,10,Hybrid,40,11,5,High,5,Daily,Poor
EMP1536,59,Finance,22,Onsite,39,11,1,Low,4,None,Good
EMP1537,26,Consulting,2,Onsite,54,12,4,High,3,None,Poor
EMP1538,40,Manufacturing,24,Hybrid,44,9,3,High,4,Weekly,Good
EMP1539,47,Retail,2,Remote,33,3,2,High,5,None,Good
EMP1540,54,Healthcare,23,Hybrid,25,8,5,High,3,Daily,Poor
EMP1541,26,IT,3,Onsite,33,8,2,High,4,Daily,Poor
EMP1542,52,Education,25,Remote,31,7,3,Low,4,None,Poor
EMP1543,38,Education,12,Remote,36,1,3,Low,1,Weekly,Average
EMP1544,34,Consulting,22,Remote,35,9,2,Medium,5,Daily,Good
EMP1545,39,Finance,22,Remote,24,12,2,Low,2,Daily,Poor
EMP1546,60,Manufacturing,33,Hybrid,50,7,3,High,5,Weekly,Poor
EMP1547,24,Retail,6,Hybrid,30,11,3,High,5,Daily,Average
EMP1548,49,Consulting,30,Onsite,38,3,3,High,4,None,Poor
EMP1549,45,Consulting,1,Onsite,40,5,1,Low,5,Weekly,Poor
EMP1550,28,Retail,19,Remote,40,9,3,Medium,1,Weekly,Average
EMP1551,34,IT,1,Remote,29,2,5,High,2,None,Poor
EMP1552,27,Manufacturing,30,Onsite,42,11,1,High,4,Weekly,Average
EMP1553,35,Consulting,35,Hybrid,50,3,4,Low,2,None,Good
EMP1554,47,Retail,4,Remote,23,13,4,Low,3,Daily,Average
EMP1555,51,Retail,6,Remote,31,10,3,High,1,Daily,Poor
EMP1556,25,IT,12,Onsite,44,9,4,Low,5,Daily,Poor
EMP1557,36,Retail,2,Hybrid,27,6,4,Low,2,Daily,Average
EMP1558,47,Education,26,Remote,59,15,3,Medium,3,Daily,Poor
EMP1559,60,IT,33,Onsite,36,4,3,Medium,1,Daily,Good
EMP1560,25,Finance,13,Hybrid,26,8,4,Medium,4,Daily,Poor
EMP1561,26,Retail,17,Onsite,32,9,3,Low,1,Weekly,Average
EMP1562,55,Consulting,6,Hybrid,23,11,4,Low,3,None,Poor
EMP1563,31,Manufacturing,2,Hybrid,30,9,3,Low,5,None,Average
EMP1564,36,Manufacturing,1,Onsite,24,0,5,Medium,4,Daily,Good
EMP1565,23,Education,33,Remote,37,6,5,Low,4,None,Poor
EMP1566,56,Education,8,Onsite,41,15,1,High,2,None,Poor
EMP1567,36,Finance,33,Remote,42,9,2,Medium,5,Daily,Good
EMP1568,33,Manufacturing,16,Remote,34,9,3,Medium,5,Daily,Average
EMP1569,50,Manufacturing,32,Hybrid,54,8,2,Low,5,Daily,Good
EMP1570,29,Education,8,Hybrid,29,8,2,Medium,3,Daily,Good
EMP1571,55,Finance,8,Hybrid,58,14,1,High,2,Daily,Poor
EMP1572,34,Consulting,33,Onsite,57,6,5,High,1,Daily,Average
EMP1573,48,Finance,23,Remote,39,3,3,Low,4,Weekly,Good
EMP1574,51,Retail,24,Hybrid,50,5,1,Low,3,Weekly,Poor
EMP1575,31,Finance,27,Onsite,42,4,4,Medium,5,Daily,Good
EMP1576,22,Manufacturing,8,Hybrid,35,2,1,Low,4,Daily,Average
EMP1577,23,Finance,7,Remote,54,10,5,Low,5,Daily,Good
EMP1578,55,Consulting,22,Hybrid,36,8,2,High,3,None,Poor
EMP1579,52,IT,16,Remote,26,12,4,High,5,None,Good
EMP1580,47,Education,14,Onsite,55,14,4,Medium,4,Daily,Good
EMP1581,46,Finance,14,Onsite,23,8,1,High,3,Daily,Average
EMP1582,28,Consulting,23,Remote,43,10,2,High,1,Daily,Average
EMP1583,57,Retail,17,Hybrid,44,13,3,Medium,5,Daily,Poor
EMP1584,26,Healthcare,18,Remote,36,9,5,Low,2,None,Average
EMP1585,39,IT,19,Remote,59,15,1,Medium,4,None,Average
EMP1586,54,Manufacturing,27,Remote,24,2,2,Medium,5,Weekly,Poor
EMP1587,25,Education,8,Remote,40,6,2,High,5,None,Poor
EMP1588,40,Manufacturing,23,Hybrid,30,0,1,High,3,None,Poor
EMP1589,56,Retail,34,Remote,51,9,1,High,5,Weekly,Average
EMP1590,32,Consulting,15,Hybrid,37,10,5,High,4,Weekly,Poor
EMP1591,34,Education,30,Remote,54,11,4,Low,5,Weekly,Average
EMP1592,57,Education,14,Onsite,27,4,1,High,4,None,Average
EMP1593,54,Consulting,26,Onsite,35,13,1,Medium,3,None,Good
EMP1594,29,IT,6,Hybrid,58,15,1,Medium,5,Weekly,Average
EMP1595,45,Education,24,Onsite,22,0,1,High,3,Weekly,Poor
EMP1596,40,IT,16,Hybrid,59,9,5,Medium,3,Daily,Good
EMP1597,42,Manufacturing,23,Hybrid,22,8,3,Low,3,Weekly,Poor
EMP1598,40,Finance,14,Onsite,43,12,2,High,2,None,Average
EMP1599,46,Healthcare,4,Onsite,57,0,5,High,5,None,Average
EMP1600,26,IT,29,Hybrid,56,1,4,Low,5,None,Good
EMP1601,33,Finance,29,Remote,45,4,5,Medium,3,None,Poor
EMP1602,38,IT,34,Remote,40,6,3,High,3,None,Poor
EMP1603,57,Education,27,Remote,56,11,1,Low,4,None,Average
EMP1604,37,Healthcare,20,Onsite,45,7,1,Medium,3,None,Poor
EMP1605,37,Education,10,Hybrid,35,12,5,Low,1,None,Average
EMP1606,24,Finance,18,Onsite,47,9,3,High,4,None,Average
EMP1607,39,Finance,32,Onsite,59,7,1,High,4,Weekly,Poor
EMP1608,23,Education,13,Hybrid,27,0,2,Low,3,None,Average
EMP1609,55,Manufacturing,19,Remote,22,2,5,High,5,None,Poor
EMP1610,53,Manufacturing,20,Remote,23,13,3,Medium,4,None,Poor
EMP1611,37,Manufacturing,24,Remote,60,5,4,Medium,3,None,Poor
EMP1612,29,IT,5,Remote,40,14,5,High,2,Daily,Average
EMP1613,51,Education,26,Hybrid,60,1,2,Medium,4,Daily,Good
EMP1614,38,Retail,28,Hybrid,41,5,3,Low,1,Weekly,Good
EMP1615,22,Healthcare,25,Onsite,41,7,4,High,4,None,Average
EMP1616,51,IT,29,Onsite,26,13,5,Low,5,Daily,Good
EMP1617,32,Finance,30,Hybrid,50,2,1,High,5,Weekly,Good
EMP1618,24,Finance,19,Hybrid,26,2,4,High,3,None,Good
EMP1619,39,Finance,10,Hybrid,29,12,5,Low,5,Daily,Average
EMP1620,34,Healthcare,7,Onsite,28,4,1,Medium,4,Daily,Good
EMP1621,47,Manufacturing,11,Remote,22,8,3,High,5,Weekly,Good
EMP1622,44,Finance,23,Remote,52,12,5,Low,4,Weekly,Poor
EMP1623,35,Finance,6,Remote,51,0,2,High,3,Weekly,Good
EMP1624,41,Healthcare,29,Hybrid,24,2,2,High,4,None,Poor
EMP1625,34,Retail,21,Onsite,41,6,2,Low,4,Weekly,Good
EMP1626,57,Education,26,Onsite,37,11,4,Medium,3,None,Good
EMP1627,31,Consulting,7,Onsite,53,1,4,Medium,5,None,Poor
EMP1628,41,Healthcare,18,Onsite,29,6,4,Medium,2,None,Average
EMP1629,37,Retail,13,Hybrid,49,9,2,High,5,Weekly,Good
EMP1630,38,Consulting,26,Remote,54,15,5,Low,3,None,Good
EMP1631,53,Manufacturing,2,Remote,21,1,4,Low,5,None,Good
EMP1632,50,Finance,18,Onsite,20,2,3,High,2,None,Poor
EMP1633,30,Manufacturing,7,Onsite,25,2,4,Medium,2,None,Good
EMP1634,50,Retail,1,Hybrid,24,2,5,Low,3,None,Good
EMP1635,55,Consulting,3,Remote,51,2,4,Low,4,None,Good
EMP1636,35,Manufacturing,8,Hybrid,59,11,3,Low,3,Weekly,Poor
EMP1637,53,Manufacturing,5,Onsite,21,5,3,Medium,4,Weekly,Good
EMP1638,49,IT,9,Hybrid,34,3,3,Low,3,Weekly,Good
EMP1639,34,Retail,30,Onsite,46,9,4,Medium,3,Daily,Poor
EMP1640,44,Consulting,20,Remote,32,4,3,Medium,3,Daily,Average
EMP1641,58,Finance,31,Hybrid,25,12,3,Medium,2,None,Average
EMP1642,28,Retail,7,Remote,51,10,1,High,1,Daily,Good
EMP1643,46,Consulting,28,Onsite,31,6,1,High,4,Weekly,Poor
EMP1644,50,Manufacturing,3,Hybrid,41,11,5,High,5,Daily,Poor
EMP1645,39,Manufacturing,33,Onsite,54,8,3,Low,5,Daily,Average
EMP1646,37,Retail,29,Remote,53,5,1,High,1,Daily,Poor
EMP1647,60,IT,15,Hybrid,60,15,1,Low,4,Weekly,Good
EMP1648,58,Finance,8,Remote,47,13,5,Low,3,Weekly,Poor
EMP1649,47,Consulting,8,Hybrid,55,9,3,Medium,2,Daily,Average
EMP1650,49,Retail,16,Remote,37,3,2,Low,3,None,Good
EMP1651,58,IT,4,Hybrid,42,14,1,High,4,None,Average
EMP1652,47,IT,16,Onsite,40,3,1,Low,3,Weekly,Average
EMP1653,30,Education,22,Onsite,21,6,4,Low,1,Daily,Good
EMP1654,25,Consulting,26,Onsite,38,8,5,Low,3,Daily,Good
EMP1655,35,Manufacturing,35,Remote,20,0,3,High,2,Daily,Good
EMP1656,53,Retail,6,Onsite,44,6,3,High,4,Weekly,Average
